gender,age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,connectedToFacebook,isVIP,isVerified,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,city
1,20,3,1024,28,1,0,0,0,0,0,1,1,0,0,0,0,0,Saint-Dié-des-Vosges
1,20,3,19073,1120,1,1,0,0,0,0,1,0,1,0,0,0,0,Lancy
1,20,30,17525,703,1,1,0,0,0,0,2,0,0,1,1,0,0,Lecce
1,21,3,9889,719,0,1,0,0,0,0,1,0,0,1,0,0,0,Bern
1,25,19,10117,330,1,1,1,0,0,1,1,0,0,1,0,0,0,Erstfeld
1,22,8,6840,335,0,1,0,0,0,0,1,1,0,0,0,0,0,Lausanne
1,22,7,6705,260,1,1,0,0,0,1,1,1,0,0,0,0,0,Dommartin
1,23,11,4009,80,1,1,1,0,0,1,1,0,1,0,0,0,0,Uster
1,23,19,42567,2108,1,0,0,0,0,0,1,0,0,1,0,0,0,
1,21,13,7788,419,1,1,1,0,0,0,1,1,0,0,0,0,0,Besançon
1,19,17,33453,1401,1,1,1,0,0,1,1,0,0,1,0,0,0,Cham
1,21,6,4847,197,1,1,0,0,1,0,1,0,0,1,0,0,0,Waldkirch
1,21,21,11286,455,1,1,1,0,0,0,1,0,0,1,0,0,0,Lörrach
1,23,3,15045,589,0,1,0,0,0,0,1,0,0,1,0,0,0,Bern
1,22,4,14460,426,1,1,1,0,0,1,1,0,0,1,0,0,0,Aarau
1,21,15,6676,340,1,1,0,0,0,0,1,1,0,0,0,0,0,Embrun
1,19,8,25862,1911,1,1,1,0,0,1,1,1,0,0,0,0,0,Fillinges
1,19,3,10162,372,1,0,0,0,0,0,1,0,0,1,0,0,0,Langnau im Emmental
1,22,5,2202,86,1,0,0,0,0,0,1,0,0,1,0,0,0,Ins
1,24,7,6728,391,1,1,0,0,0,1,2,1,1,0,0,0,0,Geneva
1,20,13,5163,81,1,1,1,0,0,1,1,0,0,1,0,0,0,Freiburg im Breisgau
1,23,2,8732,306,1,1,0,0,0,0,1,0,0,1,0,0,0,Basel
1,21,6,4232,59,0,1,0,0,1,0,1,0,0,1,0,0,0,Berne (Schweiz)
1,20,4,4175,72,0,0,1,0,0,1,1,0,0,1,0,0,0,Rüfenacht
1,19,9,12543,991,1,1,0,0,0,0,3,1,1,0,1,0,0,Divonne-les-Bains
1,20,4,12113,476,1,1,0,0,0,0,1,0,0,1,0,0,0,Küssnacht am Rigi
1,24,2,584,22,1,1,0,0,0,0,1,1,0,0,0,0,0,Grandfresnoy
1,23,7,8178,208,1,1,0,0,0,0,1,0,0,1,0,0,0,Buchs
1,25,1,3381,100,1,1,0,0,1,0,1,0,0,1,0,0,0,Luzern
1,25,1,3941,131,0,1,1,0,0,1,1,0,0,1,0,0,0,Bern
1,21,0,13355,458,0,0,1,0,0,0,1,0,0,1,0,0,0,Ottiswil
1,21,4,14019,664,0,1,0,0,0,0,1,0,0,1,0,0,0,Bern
1,20,23,12981,412,1,1,1,0,0,0,1,1,0,0,0,0,0,Genève
1,24,1,7915,116,1,1,1,0,0,0,3,1,1,1,0,0,0,Wiesbaden
1,24,5,1859,65,1,0,0,0,0,0,3,0,1,1,0,0,0,Elsdorf
1,23,26,17117,415,1,1,1,0,0,0,1,0,0,1,0,0,0,Zug
1,20,2,917,16,1,1,0,0,0,0,1,1,0,0,0,0,0,Valentigney
1,21,7,1134,41,0,1,0,0,0,0,1,1,0,0,0,0,0,Rumilly
1,22,6,9855,397,1,1,0,0,0,0,1,0,0,1,0,0,0,Eschenbach
1,19,6,5729,318,0,0,1,0,0,0,2,0,1,1,0,0,0,Zürich
1,19,3,6836,178,1,1,0,0,0,0,1,1,0,0,0,0,0,Moirans-en-Montagne
1,21,1,513,25,0,1,0,0,0,0,1,0,0,1,0,0,0,Lyssach
1,20,2,1336,53,1,1,1,0,0,1,1,1,0,0,0,0,0,Vesoul
1,21,1,10339,236,1,0,0,0,0,1,1,0,0,1,0,0,0,Lörrach
1,19,6,7183,144,1,1,1,0,0,1,1,0,0,1,0,0,0,Steinhausen
1,22,9,11288,497,0,1,0,0,0,1,1,0,0,1,0,0,0,Berikon
1,20,5,30989,672,0,0,0,0,0,1,1,0,0,1,0,0,0,Basel
1,21,12,1267,79,0,0,0,0,0,1,1,0,0,1,0,0,0,Schwäbisch Hall
1,25,5,19684,929,1,0,1,0,0,0,1,0,0,1,0,0,0,Stuttgart
1,19,4,9263,632,0,1,0,0,0,1,1,1,0,0,0,0,0,Mâcon
1,20,6,16104,393,1,1,0,0,0,1,1,0,0,1,0,0,0,Freiburg im Breisgau
1,22,10,6187,270,0,1,0,0,0,0,1,0,0,1,0,0,0,Uster
1,21,26,13355,307,0,1,0,0,0,1,1,0,0,1,0,0,0,Zürich
1,23,5,20861,764,0,1,0,0,0,0,1,0,0,1,0,0,0,Zürich
1,20,2,10467,187,1,0,1,0,0,0,1,0,0,1,0,0,0,Luzern
1,22,15,6030,309,1,1,0,0,0,1,1,0,0,1,0,0,0,Höchenschwand
1,25,6,1289,55,0,1,0,0,0,0,1,1,0,0,0,0,0,Sallanches
1,21,8,5621,166,0,1,0,0,0,0,1,0,0,1,0,0,0,Grindelwald
1,25,8,7055,200,0,0,0,0,0,0,1,0,0,1,0,0,0,"Basel (Basel-Stadt, Schweiz)"
1,23,3,3629,79,1,1,1,0,0,0,1,0,0,1,0,0,0,Trier
1,25,6,10296,267,0,0,1,0,0,1,1,0,0,1,0,0,0,Märstetten
1,23,1,1770,95,0,1,1,0,1,0,1,0,0,1,0,0,0,Mainz (Rheinland-Pfalz)
1,22,2,7689,347,0,1,0,0,0,0,1,1,0,0,0,0,0,Lausanne
1,19,1,3865,77,0,1,0,0,0,0,1,1,0,0,0,0,0,Tignieu-Jameyzieu
1,25,12,19098,557,1,1,1,0,0,1,1,0,0,1,0,0,0,Zürich
1,22,6,5470,137,1,0,0,0,0,0,1,0,0,1,0,0,0,Olten
1,19,6,7581,105,1,1,1,0,0,1,1,0,0,1,0,0,0,
1,21,5,6613,132,1,1,1,0,0,0,1,1,0,0,0,0,0,Mâcon
1,20,18,5103,319,1,1,1,0,0,1,1,0,0,1,0,0,0,Wilderswil
1,21,5,3352,44,0,0,1,0,0,0,1,0,0,1,0,0,0,Wohlen
1,20,5,2412,104,1,0,0,0,0,0,1,1,0,0,0,0,0,Châtelaine
1,22,4,6445,211,1,1,0,0,0,0,1,1,0,0,0,0,0,Yverdon-les-Bains
1,20,29,20567,1133,0,1,0,0,0,0,1,0,0,1,0,0,0,Burgdorf
1,25,7,15664,270,0,1,0,0,0,1,1,0,0,1,0,0,0,Thun
1,25,1,25835,1315,0,1,0,0,0,0,1,0,0,1,0,0,0,Zürich
1,22,3,5003,263,1,1,1,0,0,1,3,0,1,1,1,0,0,Rudolfstetten-Friedlisberg
1,23,4,26955,1167,1,1,1,0,0,0,1,0,0,1,0,0,0,Offenbach am Main
1,24,19,15869,1340,0,1,0,0,0,0,1,0,0,1,0,0,0,Zürich
1,23,2,4196,661,1,1,0,0,0,1,1,0,0,1,0,0,0,Lahr/Schwarzwald
1,21,6,554,50,1,0,0,0,0,0,1,1,0,0,0,0,0,Bâle
1,19,7,15904,697,0,1,0,0,0,0,1,0,0,1,0,0,0,Zürichhorn
1,26,7,10123,301,1,0,0,0,0,0,1,0,0,1,0,0,0,Köln
1,20,5,12064,659,1,1,1,0,0,1,1,0,0,1,0,0,0,Waldshut-Tiengen
